Series Name,Series Code,Country Name,Country Code,1990 [YR1990],2000 [YR2000],2013 [YR2013],2014 [YR2014],2015 [YR2015],2016 [YR2016],2017 [YR2017],2018 [YR2018],2019 [YR2019],2020 [YR2020],2021 [YR2021],2022 [YR2022]
Population density (people per sq. km of land area),EN.POP.DNST,Malawi,MWI,101.1843975,119.1067777,169.9700361,174.7768986,179.6663343,184.6162919,189.6602355,194.8226877,200.1202482,205.5267395,210.9645948,..
Population density (people per sq. km of land area),EN.POP.DNST,Malaysia,MYS,53.31625019,69.83761984,91.72061178,93.15616801,94.56348501,95.95622584,97.32401765,98.61290823,99.84483336,101.0500472,102.1880201,..
Population density (people per sq. km of land area),EN.POP.DNST,Maldives,MDV,749.8566667,941.69,1335.76,1389.126667,1451.94,1514.173333,1574.806667,1632.526667,1681.693333,1714.793333,1738.19,..
Population density (people per sq. km of land area),EN.POP.DNST,Mali,MLI,7.330846835,9.210943378,13.93556167,14.38449258,14.84433326,15.32556897,15.82651472,16.33704423,16.85591916,17.39404519,17.95210828,..
Population density (people per sq. km of land area),EN.POP.DNST,Malta,MLT,1106.78125,1219.021875,1331.146875,1357.99375,1390.790625,1422.9875,1462.496875,1514.46875,1575.19375,1610.4125,1620.425,..
Population density (people per sq. km of land area),EN.POP.DNST,Marshall Islands,MHL,..,301.2444444,285.2888889,280.1055556,274.5,268.4944444,262.15,255.4944444,248.4888889,241.1833333,233.6111111,..
Population density (people per sq. km of land area),EN.POP.DNST,Mauritania,MRT,1.946276317,2.614730765,3.631472785,3.728702823,3.828679538,3.931202096,4.03610653,4.143506355,4.253273503,4.364610459,4.477514311,..
Population density (people per sq. km of land area),EN.POP.DNST,Mauritius,MUS,521.5640394,584.6665025,630.4091137,631.551327,632.3880821,632.8227341,633.3935904,633.7391087,633.9434151,633.9579369,634.1181773,..
Population density (people per sq. km of land area),EN.POP.DNST,Mexico,MEX,42.03833843,50.34771573,60.33626688,61.08999048,61.80709226,62.51149515,63.190544,63.79477919,64.34595077,64.81560843,65.17921654,..
Population density (people per sq. km of land area),EN.POP.DNST,Micronesia,FSM,..,159.5842857,155.1557143,155.7485714,156.3742857,157.0357143,157.7571429,158.47,159.1128571,160.1514286,161.6157143,..
Population density (people per sq. km of land area),EN.POP.DNST,Moldova,MDA,..,101.8444824,99.57718425,99.51648849,98.75606783,97.61416583,95.90938838,94.25439467,92.75609357,91.74732605,90.78345541,..
Population density (people per sq. km of land area),EN.POP.DNST,Monaco,MCO,14962.50617,16016.28022,17476.56635,17814.50419,18135.17514,18288.60385,18275.28367,18267.88357,18270.35027,18215.0962,17603.64683,..
Population density (people per sq. km of land area),EN.POP.DNST,Mongolia,MNG,1.396780978,1.58389404,1.827033182,1.864066499,1.903829648,1.945445172,1.988132454,2.031774501,2.075718988,2.115133618,2.149449088,..
Population density (people per sq. km of land area),EN.POP.DNST,Montenegro,MNE,..,..,46.18639405,46.23122677,46.25717472,46.26788104,46.2730855,46.26223048,46.24743494,46.19375465,46.03799257,..
Population density (people per sq. km of land area),EN.POP.DNST,Morocco,MAR,55.05447905,63.98031593,75.74171409,76.73897154,77.70660542,78.66292628,79.6059041,80.50080887,81.34530137,82.20652476,83.0754739,..
Population density (people per sq. km of land area),EN.POP.DNST,Mozambique,MOZ,16.91734149,22.59531651,32.11135965,33.11211374,34.13520944,35.22024085,36.33032503,37.41686971,38.51267199,39.64780259,40.79080343,..
Population density (people per sq. km of land area),EN.POP.DNST,Myanmar,MMR,61.35745784,69.6794871,77.55303179,78.20241931,78.83253047,79.49439168,80.10469705,80.6894653,81.2627731,81.85330718,82.42769547,..
Population density (people per sq. km of land area),EN.POP.DNST,Namibia,NAM,1.662853915,2.209599291,2.677683441,2.724436104,2.772660909,2.822033548,2.872054805,2.922032334,2.971788799,3.023355075,3.073219643,..
Population density (people per sq. km of land area),EN.POP.DNST,Nauru,NRU,479.9,518.85,534.7,547,559.25,571.85,584.1,596.2,606.6,615.75,625.55,..
Population density (people per sq. km of land area),EN.POP.DNST,Nepal,NPL,137.1785315,171.3254273,191.011894,191.5738123,192.6077782,194.3577677,196.6056924,198.8609138,201.1335612,204.7340565,209.5220719,..
Population density (people per sq. km of land area),EN.POP.DNST,Netherlands,NLD,442.876481,471.7272808,498.7958445,500.5938854,503.1162162,505.8008316,508.8,511.7797446,515.1432729,518.013068,520.7319275,..
Population density (people per sq. km of land area),EN.POP.DNST,New Caledonia,NCL,9.348960613,11.66466083,14.42286652,14.66356674,14.74070022,14.78227571,14.81455142,14.83424508,14.8380744,14.904814,15.02516411,..
Population density (people per sq. km of land area),EN.POP.DNST,New Zealand,NZL,12.64593065,14.65079184,16.87022901,17.15278569,17.50560176,17.90323193,18.28111352,18.61152254,18.91003,19.33158634,19.41209981,..
Population density (people per sq. km of land area),EN.POP.DNST,Nicaragua,NIC,35.13229184,42.57289347,50.85074788,51.5927871,52.34001994,53.09319428,53.85185308,54.61386904,55.37580189,56.14006149,56.92654147,..
Population density (people per sq. km of land area),EN.POP.DNST,Niger,NER,6.608232415,9.175546696,14.72582222,15.29329281,15.89020605,16.51673088,17.16106576,17.82352412,18.5074548,19.2102621,19.93583485,..
Population density (people per sq. km of land area),EN.POP.DNST,Nigeria,NGA,104.5425925,134.8880442,191.8443987,196.9531451,202.0222284,207.1510162,212.4530968,217.8240643,223.222649,228.737667,234.3086872,..
Population density (people per sq. km of land area),EN.POP.DNST,North Macedonia,MKD,..,79.68344475,81.84107851,81.97743854,82.08667724,82.17644726,82.25622522,82.3242268,82.34314036,82.17807296,81.88310864,..
Population density (people per sq. km of land area),EN.POP.DNST,Northern Mariana,MNP,..,174.6478261,113.35,112.7304348,111.9869565,111.1586957,110.2804348,109.3565217,108.3869565,107.7978261,107.5673913,..
Population density (people per sq. km of land area),EN.POP.DNST,Norway,NOR,11.61271095,12.29579952,13.91208868,14.07044491,14.20793848,14.33542438,14.45257626,14.54888964,14.6479975,14.76721523,14.84700909,..
Population density (people per sq. km of land area),EN.POP.DNST,Oman,OMN,5.830449111,7.574323102,12.3317609,12.95401292,13.54370275,14.21024233,14.67481099,14.86642003,14.8716252,14.67980291,14.60572213,..
Population density (people per sq. km of land area),EN.POP.DNST,Pakistan,PAK,149.7172958,200.2515619,266.3677382,270.1479193,273.6733318,276.9884288,280.6917484,285.0397974,289.6602325,294.7238753,300.179168,..
Population density (people per sq. km of land area),EN.POP.DNST,Palau,PLW,..,42.8826087,38.70652174,38.68695652,38.6826087,38.73043478,38.77608696,38.83478261,38.94782609,39.06956522,39.1826087,..
Population density (people per sq. km of land area),EN.POP.DNST,Panama,PAN,32.95625504,40.37841001,51.40645682,52.46617647,53.3877361,54.32185645,55.2625877,56.15064707,57.05758965,57.89156107,58.65822324,..
Population density (people per sq. km of land area),EN.POP.DNST,Papua New Guinea,PNG,8.53458464,12.16335512,18.20789427,18.69044075,19.1718721,19.65103785,20.12718279,20.60068675,21.0716027,21.52903767,21.970227,..
Population density (people per sq. km of land area),EN.POP.DNST,Paraguay,PRY,10.21695193,12.89659955,15.11616411,15.3302819,15.5498364,15.77300529,15.99648628,16.21779008,16.43600805,16.65918701,16.8733929,..
Population density (people per sq. km of land area),EN.POP.DNST,Peru,PER,17.27273359,20.82378047,23.46781953,23.71402422,23.99364297,24.32248359,24.69178594,25.15933125,25.64442266,26.01934063,26.34021172,..
Population density (people per sq. km of land area),EN.POP.DNST,Philippines,PHL,206.4557065,261.4556226,334.3733675,339.8235939,345.5457122,351.7297716,357.9786732,364.1172351,370.1941979,376.2651407,381.9308717,..
Population density (people per sq. km of land area),EN.POP.DNST,Poland,POL,124.4271181,124.9098208,124.2291107,124.1442732,124.0615696,124.008253,124.0237304,124.0315838,124.0255954,123.8005749,123.3163149,..
Population density (people per sq. km of land area),EN.POP.DNST,Portugal,PRT,109.1062077,112.4579016,114.1561287,113.5417704,113.0725196,112.7163842,112.4418158,112.261936,112.2885828,112.406676,112.7130547,..
Population density (people per sq. km of land area),EN.POP.DNST,Puerto Rico,PRI,398.7598647,429.6059752,405.0819617,398.5201804,391.5706877,384.0667418,374.8913191,360.0173619,360.0556933,369.9613303,367.834611,..
Population density (people per sq. km of land area),EN.POP.DNST,Qatar,QAT,38.04263566,55.63626184,175.3230835,192.729765,210.1456049,225.8630113,236.0100087,240.7947781,244.3198433,240.2423847,233.9630113,..
Population density (people per sq. km of land area),EN.POP.DNST,Romania,ROU,101.1634402,97.70132341,86.87429031,86.53068063,86.12489569,85.63224531,85.13871262,84.63999478,84.19527121,83.73283206,83.10100834,..
